alpha,switch_probability,J,route_rms,S,smooth_rms,C,total_energy,expected_probability,expected_J
0.000244140625,0.0001220703125,0.00048828125,0.02209708691207961,5.960464477539063e-08,0.000244140625,-5.960464477539063e-08,0.0004882216453552246,0.0001220703125,0.00048828125
0.00048828125,0.000244140625,0.0009765625,0.03125,2.384185791015625e-07,0.00048828125,-2.384185791015625e-07,0.0009763240814208984,0.000244140625,0.0009765625
0.0009765625,0.00048828125,0.001953125,0.04419417382415922,9.5367431640625e-07,0.0009765625,-9.5367431640625e-07,0.0019521713256835938,0.00048828125,0.001953125
0.001953125,0.0009765625,0.00390625,0.0625,3.814697265625e-06,0.001953125,-3.814697265625e-06,0.003902435302734375,0.0009765625,0.00390625
0.00390625,0.001953125,0.0078125,0.08838834764831845,1.52587890625e-05,0.00390625,-1.52587890625e-05,0.0077972412109375,0.001953125,0.0078125
0.0078125,0.00390625,0.015625,0.125,6.103515625e-05,0.0078125,-6.103515625e-05,0.01556396484375,0.00390625,0.015625
0.015625,0.0078125,0.03125,0.1767766952966369,0.000244140625,0.015625,-0.000244140625,0.031005859375,0.0078125,0.03125
0.03125,0.015625,0.0625,0.25,0.0009765625,0.03125,-0.0009765625,0.0615234375,0.015625,0.0625
0.0625,0.03125,0.125,0.3535533905932738,0.00390625,0.0625,-0.00390625,0.12109375,0.03125,0.125
