alpha,support_J,expected_J,support_rms,total_energy,expected_total_energy
0.0009765625,1.5522028107284314e-10,1.5522042910257974e-10,1.2458743157832702e-05,4.769923784841978e-07,4.769923786322275e-07
0.001953125,1.2417631367611648e-09,1.241763432820638e-09,3.523865969019203e-05,1.908590395949261e-06,1.9085903962453208e-06
0.00390625,9.934106870446158e-09,9.934107462565104e-09,9.966998981863176e-05,7.639328638120446e-06,7.639328638712565e-06
0.0078125,7.947285851628294e-08,7.947285970052083e-08,0.0002819093090273589,3.059705098351628e-05,3.059705098470052e-05
0.015625,6.357828752356909e-07,6.357828776041666e-07,0.0007973599408270338,0.0001227060953752357,0.00012270609537760416
0.03125,5.086263016096382e-06,5.086263020833333e-06,0.0022552744879717817,0.0004933675130160964,0.0004933675130208334
0.0625,4.0690104157192764e-05,4.0690104166666664e-05,0.00637887953775526,0.0019938151041571928,0.0019938151041666665
