step,layer,S,J,C,T,switched,r_h,J_over_T,execution_repeat_energy,fp32_error_rms,multi_exchange,J_execution,J_unchanged_execution,relative_execution_reference_J_difference,same_state_repeat_over_update_T,multi_exchange_given_switch,incoming_rank9_share,top100_event_share,event_document_groups
64,1,2.7337670906427688e-09,1.3417539834544459e-08,1.701581025638188e-11,1.6185338545699988e-08,0.011555900645510209,0.0007050546489064967,0.8289934619939809,7.225355978277766e-11,3.1447453805010747e-10,2.244082075057813e-06,1.3529528609925939e-08,7.864201505693911e-11,0.008346446275729003,0.0034193816010742064,0.0001941936110301971,0.9782545383943306,0.10350423836886648,840
64,2,1.565076378166225e-07,1.225185660051079e-07,3.8335522838223713e-10,2.797929142784948e-07,0.028976709794184013,0.0015835996367984711,0.437890167165412,4.611633455674614e-08,9.975405572946737e-09,2.5806943863164852e-05,1.2317676883469628e-07,3.9157276620028594e-10,0.005372270106074772,0.12694554170087435,0.0008906098741529526,0.9564376354069948,0.05340622652036859,866
64,3,4.829238438492443e-07,2.6456407320433864e-07,1.1674937587758005e-09,7.498229045711346e-07,0.03281184606045782,0.0017927245104697757,0.35283541165717996,7.369948582779348e-07,9.377588336118295e-08,5.3857969801387514e-05,2.6521821777921635e-07,2.852375979121487e-10,0.0024725374347123186,0.47013682794152645,0.0016414184591184214,0.9477331694660658,0.049247480177946217,865
64,4,2.873365053147429e-07,5.77351076941014e-07,3.465005758529357e-09,8.716175937728155e-07,0.04020497445673578,0.0024134223511875497,0.6623903430424545,6.000160926670873e-07,3.7708319767820836e-07,0.0002345065768435415,5.784759170227555e-07,2.994430671945182e-10,0.0019482774461967445,0.6250000711389093,0.005832775173029695,0.9198157704899839,0.02897451863729084,867
64,5,4.817358788005426e-07,9.916115720721568e-07,5.9242463530625524e-09,1.4851959435788242e-06,0.04538880405011933,0.0029167494906234535,0.6676638031226407,1.1168169306829026e-06,1.1649851133631764e-09,0.00014362125280370004,9.925175277945546e-07,2.914253264832656e-10,0.0009136195541814551,0.727905042516561,0.003164244042321764,0.9278972918360809,0.021840602391376196,867
64,6,7.60898401883021e-07,1.3711345513315147e-06,9.228769208613439e-09,2.150490491631762e-06,0.04923964889091854,0.0033048114618007968,0.6375915432628195,1.6972692701162391e-06,1.3924094292283649e-09,0.00017952656600462506,1.3725028756788994e-06,3.7387621532293353e-10,0.0009979504535539974,0.7650735596437521,0.0036459757542612343,0.9196331274972757,0.021646426977049507,867
64,7,8.874041032790809e-07,1.9774096479462233e-06,1.2920913361235862e-08,2.890655577947776e-06,0.05753489828136974,0.0036241082046058397,0.6840696148761132,2.3822053098446675e-06,1.4488831187588836e-09,0.0002950967928701024,1.9783875667772272e-06,2.7209291189068665e-10,0.0004945453927664989,0.808457937297876,0.005129005207012891,0.9123433316518568,0.0152809073547114,867
64,8,1.2710569605566552e-06,2.0716935392056003e-06,1.588714012809015e-08,3.3745247800184354e-06,0.05744064683421731,0.0036474518781853334,0.6139215665188513,2.844546860774761e-06,1.6339936295174192e-09,0.0003343682291836142,2.0729832259548686e-06,3.107163636881015e-10,0.0006225277652613936,0.8257592491121101,0.005821108354657864,0.9042218510894473,0.01578068858125358,867
64,9,1.6005361680464186e-06,2.406044748206455e-06,1.9053015329836168e-08,4.044686946912547e-06,0.06195125180508352,0.003943500264096242,0.5948655062273915,3.488104042509273e-06,1.5574079729953893e-09,0.0003085612853204493,2.40781885851124e-06,4.348329970027598e-10,0.0007373554902116997,0.8458746810904535,0.004980711064423233,0.9001874076476736,0.013623404669241404,867
64,10,1.7759190945782559e-06,2.6212162088079914e-06,2.1247050048476772e-08,4.439629403483202e-06,0.06158210030373651,0.004068612549782908,0.5904132914228073,3.902508008168903e-06,1.4681218390751738e-09,0.0003433445574838454,2.6227691168851802e-06,4.3814765932206236e-10,0.0005924379957558124,0.8642493927025322,0.005575395379345528,0.8989763565540357,0.014148635188204885,867
